"Role","Word Count"
"N1",4986
"N2",4369
"Bloom",4026
"Virag",1239
"JJOM",493
"Stephen",466
"Elijah",463
"Zoe",397
"Talboys",313
"Bellingham",269
"MrsBreen",261
"Beaufoy",258
"DrDixon",167
"Driscoll",149
"Yelverton",139
"DrMulligan",119
"Dignam",114
"Rudolph",113
"Maffei",111
"Bawd",108
"DaughtersErin",81
"Edy",74
"Cissy",73
"Recorder",71
"Lynch",67
"MananaunMaclir",58
"JimmyHenry",57
"FirstWatch",57
"Florry",53
"PhilipDrunk",48
"Martha",47
"Harrington",47
"Hornblower",44
"Crier",42
"Bohees",41
"Gerty",40
"Navvy",39
"Marion",39
"Jurors",38
"SecondWatch",34
"Gaffer",34
"ArtaneOrphans",34
"Voice",28
"JohnEglinton",28
"Carr",28
"Whores",27
"Cap",26
"Myles",25
"Kisses",24
"Ellen",24
"Blacksmith",24
"WillArmagh",23
"Hobgoblin",23
"DavyStephens",23
"Best",22
"OConnell",21
"Macintosh",21
"BloomsBoys",21
"Henry",20
"Pat",19
"Newsboys",19
"Soap",18
"ReubenJ",17
"NamelessOne",17
"MotherGrogan",17
"Kitty",17
"Rochford",16
"EndOfWorld",16
"Loiterers",15
"GalleryVoice",15
"Rumbold",14
"MikeArmagh",14
"DarkMercury",14
"TheodorePurefoy",13
"Peers",13
"Lyster",13
"Gramophone",13
"Crab",13
"BenDollard",13
"Ragamuffins",12
"PaddyLeonard",12
"MrsThornton",12
"FrCoffey",12
"Fottrell",12
"Feminist",12
"Compton",12
"Artifoni",12
"NoseyFlynn",11
"Virago",10
"Deadhand",10
"MastianskyCitron",9
"MacHugh",9
"Calls",9
"Beatitudes",9
"Motorman",8
"Mesias",8
"Elector",8
"Doran",8
"All",8
"Wreaths",7
"Richie",7
"Parnell",7
"MrsRiordan",7
"Moth",7
"Gong",7
"FemaleInfant",7
"Chimes",7
"Bridie",7
"Watch",6
"Virgins",6
"Timepiece",6
"Citizen",6
"Children",6
"Sweny",5
"PhilipSober",5
"Noblewoman",5
"Hollybush",5
"Dlugacz",5
"Sightseers",4
"Millionairess",4
"LongJohn",4
"Idiot",4
"Gulls",4
"BrotherBuzz",4
"Bells",4
"Answers",4
"VeiledSibyl",3
"Urchins",3
"Quoits",3
"LongShortHand",3
"Gasjet",3
"Figure",3
"MaleBrutes",2
"EvictedTenants",2
"AlfBergan",2
"ViragsHead",1
"Torchbearers",1
"FireBrigade",1
"BabyBoardman",1
